orig_lon,orig_lat,dest_long,dest_lat,count
-106.609001,35.040199,-104.6729965,39.86169815,3371.0
-106.609001,35.040199,-77.45580292,38.94449997,1844.0
-106.609001,35.040199,-95.34140015,29.9843998,813.0
-106.609001,35.040199,-87.9048,41.9786,420.0
-106.609001,35.040199,-122.375,37.61899948,4.0
-81.96450043,33.36989975,-84.428101,33.6367,5.0
-73.80169678,42.74829865,-87.9048,41.9786,6274.0
-149.9960022,61.17440033,-104.6729965,39.86169815,2816.0
-149.9960022,61.17440033,-74.16870117,40.69250107,65.0
-149.9960022,61.17440033,-95.34140015,29.9843998,616.0
-149.9960022,61.17440033,-87.9048,41.9786,2144.0
-149.9960022,61.17440033,-122.308998,47.449001,1607.0
-149.9960022,61.17440033,-122.375,37.61899948,999.0
-84.428101,33.6367,-80.94309998,35.2140007,1.0
-84.428101,33.6367,-104.6729965,39.86169815,2597.0
-84.428101,33.6367,-74.16870117,40.69250107,8399.0
-84.428101,33.6367,-77.45580292,38.94449997,1743.0
-84.428101,33.6367,-95.34140015,29.9843998,2324.0
-84.428101,33.6367,-87.9048,41.9786,5934.0
-84.428101,33.6367,-122.375,37.61899948,3031.0
-97.66989899,30.19449997,-104.6729965,39.86169815,5056.0
-97.66989899,30.19449997,-74.16870117,40.69250107,4930.0
-97.66989899,30.19449997,-77.45580292,38.94449997,1696.0
-97.66989899,30.19449997,-95.34140015,29.9843998,12606.0
-97.66989899,30.19449997,-118.4079971,33.94250107,434.0
-97.66989899,30.19449997,-87.9048,41.9786,3680.0
-97.66989899,30.19449997,-122.375,37.61899948,6074.0
-82.54180145,35.43619919,-74.16870117,40.69250107,554.0
-72.68319702,41.93889999,-104.6729965,39.86169815,995.0
-72.68319702,41.93889999,-74.16870117,40.69250107,422.0
-72.68319702,41.93889999,-77.45580292,38.94449997,5446.0
-72.68319702,41.93889999,-95.34140015,29.9843998,3.0
-72.68319702,41.93889999,-87.9048,41.9786,8278.0
-72.68319702,41.93889999,-122.375,37.61899948,179.0
-68.82810211,44.80739975,-87.9048,41.9786,12.0
-108.5429993,45.80770111,-104.6729965,39.86169815,7170.0
-86.67819977,36.12450027,-81.84980011,41.4117012,1.0
-86.67819977,36.12450027,-104.6729965,39.86169815,573.0
-86.67819977,36.12450027,-74.16870117,40.69250107,1796.0
-86.67819977,36.12450027,-77.45580292,38.94449997,120.0
-86.67819977,36.12450027,-95.34140015,29.9843998,1498.0
-86.67819977,36.12450027,-87.9048,41.9786,1786.0
-86.67819977,36.12450027,-122.375,37.61899948,1353.0
-116.223,43.5644,-104.6729965,39.86169815,6471.0
-116.223,43.5644,-118.4079971,33.94250107,1.0
-116.223,43.5644,-87.9048,41.9786,1373.0
-116.223,43.5644,-122.375,37.61899948,147.0
-71.00520325,42.36429977,-81.84980011,41.4117012,493.0
-71.00520325,42.36429977,-104.6729965,39.86169815,12646.0
-71.00520325,42.36429977,-74.16870117,40.69250107,22026.0
-71.00520325,42.36429977,-77.45580292,38.94449997,14057.0
-71.00520325,42.36429977,-95.34140015,29.9843998,11701.0
-71.00520325,42.36429977,-118.4079971,33.94250107,5941.0
-71.00520325,42.36429977,-89.33750153,43.13990021,2.0
-71.00520325,42.36429977,-93.221802,44.882,1.0
-71.00520325,42.36429977,-87.9048,41.9786,24323.0
-71.00520325,42.36429977,-112.012001,33.43429947,2.0
-71.00520325,42.36429977,-122.375,37.61899948,20879.0
-67.12940216,18.49489975,-74.16870117,40.69250107,2139.0
-91.149597,30.533199,-77.037697,38.8521,7.0
-91.149597,30.533199,-95.34140015,29.9843998,5.0
-73.15329742,44.47190094,-74.16870117,40.69250107,311.0
-73.15329742,44.47190094,-77.45580292,38.94449997,2.0
-73.15329742,44.47190094,-87.9048,41.9786,1248.0
-78.73220062,42.94049835,-74.16870117,40.69250107,231.0
-78.73220062,42.94049835,-87.9048,41.9786,6836.0
-118.3590012,34.20069885,-104.6729965,39.86169815,362.0
-118.3590012,34.20069885,-122.375,37.61899948,1018.0
-76.668297,39.1754,-81.84980011,41.4117012,1.0
-76.668297,39.1754,-104.6729965,39.86169815,8906.0
-76.668297,39.1754,-74.16870117,40.69250107,6.0
-76.668297,39.1754,-95.34140015,29.9843998,5605.0
-76.668297,39.1754,-118.4079971,33.94250107,4157.0
-76.668297,39.1754,-87.9048,41.9786,12886.0
-76.668297,39.1754,-122.375,37.61899948,3965.0
-111.1529999,45.77750015,-104.6729965,39.86169815,4040.0
-111.1529999,45.77750015,-74.16870117,40.69250107,437.0
-111.1529999,45.77750015,-87.9048,41.9786,1772.0
-111.1529999,45.77750015,-122.375,37.61899948,234.0
-80.04049683,32.89860153,-74.16870117,40.69250107,950.0
-80.04049683,32.89860153,-77.45580292,38.94449997,79.0
-80.04049683,32.89860153,-95.34140015,29.9843998,132.0
-80.04049683,32.89860153,-87.9048,41.9786,1432.0
-91.71080017,41.88470078,-104.6729965,39.86169815,1099.0
-91.71080017,41.88470078,-87.9048,41.9786,260.0
-81.84980011,41.4117012,-84.428101,33.6367,1.0
-81.84980011,41.4117012,-86.67819977,36.12450027,1.0
-81.84980011,41.4117012,-71.00520325,42.36429977,500.0
-81.84980011,41.4117012,-76.668297,39.1754,4.0
-81.84980011,41.4117012,-77.037697,38.8521,3.0
-81.84980011,41.4117012,-104.6729965,39.86169815,4901.0
-81.84980011,41.4117012,-74.16870117,40.69250107,7966.0
-81.84980011,41.4117012,-80.152702,26.072599,2043.0
-81.84980011,41.4117012,-77.45580292,38.94449997,376.0
-81.84980011,41.4117012,-95.34140015,29.9843998,6327.0
-81.84980011,41.4117012,-115.1520004,36.08010101,2789.0
-81.84980011,41.4117012,-118.4079971,33.94250107,4927.0
-81.84980011,41.4117012,-73.87259674,40.77719879,679.0
-81.84980011,41.4117012,-81.30899811,28.42939949,3918.0
-81.84980011,41.4117012,-80.29060364,25.79319954,19.0
-81.84980011,41.4117012,-90.25800323,29.99340057,3.0
-81.84980011,41.4117012,-87.9048,41.9786,12113.0
-81.84980011,41.4117012,-80.09559631,26.68320084,2.0
-81.84980011,41.4117012,-122.5979996,45.58869934,81.0
-81.84980011,41.4117012,-75.2410965,39.87189865,8.0
-81.84980011,41.4117012,-112.012001,33.43429947,982.0
-81.84980011,41.4117012,-81.75520325,26.53619957,1795.0
-81.84980011,41.4117012,-117.1900024,32.73360062,33.0
-81.84980011,41.4117012,-85.736,38.1744,1.0
-81.84980011,41.4117012,-122.308998,47.449001,255.0
-81.84980011,41.4117012,-122.375,37.61899948,3968.0
-81.84980011,41.4117012,-66.00180054,18.43939972,232.0
-81.84980011,41.4117012,-82.53320313,27.97550011,1273.0
-80.94309998,35.2140007,-104.6729965,39.86169815,788.0
-80.94309998,35.2140007,-74.16870117,40.69250107,960.0
-80.94309998,35.2140007,-77.45580292,38.94449997,14.0
-80.94309998,35.2140007,-95.34140015,29.9843998,262.0
-80.94309998,35.2140007,-87.9048,41.9786,4756.0
-80.94309998,35.2140007,-122.375,37.61899948,1.0
-82.891899,39.998001,-104.6729965,39.86169815,2926.0
-82.891899,39.998001,-74.16870117,40.69250107,7.0
-82.891899,39.998001,-95.34140015,29.9843998,14.0
-82.891899,39.998001,-87.9048,41.9786,5231.0
-97.50119781,27.77039909,-95.34140015,29.9843998,106.0
-84.6678009,39.04880142,-104.6729965,39.86169815,414.0
-84.6678009,39.04880142,-74.16870117,40.69250107,9.0
-84.6678009,39.04880142,-77.45580292,38.94449997,31.0
-84.6678009,39.04880142,-95.34140015,29.9843998,33.0
-84.6678009,39.04880142,-87.9048,41.9786,2071.0
-84.6678009,39.04880142,-122.375,37.61899948,539.0
-84.2193985,39.90240097,-87.9048,41.9786,83.0
-77.037697,38.8521,-91.149597,30.533199,6.0
-77.037697,38.8521,-81.84980011,41.4117012,2.0
-77.037697,38.8521,-104.6729965,39.86169815,3566.0
-77.037697,38.8521,-74.16870117,40.69250107,118.0
-77.037697,38.8521,-95.34140015,29.9843998,14019.0
-77.037697,38.8521,-87.9048,41.9786,31549.0
-77.037697,38.8521,-122.375,37.61899948,2376.0
-104.6729965,39.86169815,-106.609001,35.040199,3366.0
-104.6729965,39.86169815,-149.9960022,61.17440033,2836.0
-104.6729965,39.86169815,-84.428101,33.6367,2895.0
-104.6729965,39.86169815,-97.66989899,30.19449997,4422.0
-104.6729965,39.86169815,-72.68319702,41.93889999,1000.0
-104.6729965,39.86169815,-108.5429993,45.80770111,7178.0
-104.6729965,39.86169815,-86.67819977,36.12450027,671.0
-104.6729965,39.86169815,-116.223,43.5644,6800.0
-104.6729965,39.86169815,-71.00520325,42.36429977,13384.0
-104.6729965,39.86169815,-118.3590012,34.20069885,366.0
-104.6729965,39.86169815,-76.668297,39.1754,8986.0
-104.6729965,39.86169815,-111.1529999,45.77750015,4033.0
-104.6729965,39.86169815,-91.71080017,41.88470078,1098.0
-104.6729965,39.86169815,-81.84980011,41.4117012,4703.0
-104.6729965,39.86169815,-80.94309998,35.2140007,802.0
-104.6729965,39.86169815,-82.891899,39.998001,2422.0
-104.6729965,39.86169815,-84.6678009,39.04880142,393.0
-104.6729965,39.86169815,-77.037697,38.8521,3587.0
-104.6729965,39.86169815,-97.038002,32.896801,10223.0
-104.6729965,39.86169815,-93.6631012,41.5340004,5952.0
-104.6729965,39.86169815,-83.35340118,42.21239853,2379.0
-104.6729965,39.86169815,-106.9179993,39.64260101,1048.0
-104.6729965,39.86169815,-106.3779984,31.80719948,12.0
-104.6729965,39.86169815,-123.211998,44.12459946,681.0
-104.6729965,39.86169815,-74.16870117,40.69250107,18913.0
-104.6729965,39.86169815,-147.8560028,64.81510162,225.0
-104.6729965,39.86169815,-114.2559967,48.3105011,386.0
-104.6729965,39.86169815,-80.152702,26.072599,2692.0
-104.6729965,39.86169815,-96.74189758,43.58200073,3353.0
-104.6729965,39.86169815,-117.5339966,47.61989975,6895.0
-104.6729965,39.86169815,-85.52279663,42.88079834,1802.0
-104.6729965,39.86169815,-106.9329987,38.53390121,29.0
-104.6729965,39.86169815,-107.2180023,40.48120117,199.0
-104.6729965,39.86169815,-157.924228,21.32062,3677.0
-104.6729965,39.86169815,-77.45580292,38.94449997,26029.0
-104.6729965,39.86169815,-95.34140015,29.9843998,29527.0
-104.6729965,39.86169815,-97.433098,37.649899,5011.0
-104.6729965,39.86169815,-112.070999,43.514599,12.0
-104.6729965,39.86169815,-86.294403,39.7173,1027.0
-104.6729965,39.86169815,-110.737999,43.6072998,6014.0
-104.6729965,39.86169815,-81.68789673,30.49410057,89.0
-104.6729965,39.86169815,-156.045603,19.738783,1031.0
-104.6729965,39.86169815,-115.1520004,36.08010101,18071.0
-104.6729965,39.86169815,-118.4079971,33.94250107,28477.0
-104.6729965,39.86169815,-73.87259674,40.77719879,18190.0
-104.6729965,39.86169815,-159.3390045,21.97599983,767.0
-104.6729965,39.86169815,-94.713898,39.2976,5073.0
-104.6729965,39.86169815,-81.30899811,28.42939949,12204.0
-104.6729965,39.86169815,-89.97669983,35.04240036,577.0
-104.6729965,39.86169815,-122.8730011,42.37419891,392.0
-104.6729965,39.86169815,-80.29060364,25.79319954,1768.0
-104.6729965,39.86169815,-87.89659882,42.94720078,1024.0
-104.6729965,39.86169815,-89.33750153,43.13990021,2153.0
-104.6729965,39.86169815,-114.0910034,46.91630173,413.0
-104.6729965,39.86169815,-93.221802,44.882,9198.0
-104.6729965,39.86169815,-90.25800323,29.99340057,6411.0
-104.6729965,39.86169815,-107.8939972,38.50979996,135.0
-104.6729965,39.86169815,-122.221001,37.721298,2263.0
-104.6729965,39.86169815,-156.429993,20.8986,1908.0
-104.6729965,39.86169815,-97.60070038,35.39310074,3949.0
-104.6729965,39.86169815,-95.894096,41.3032,8633.0
-104.6729965,39.86169815,-117.6009979,34.05599976,5302.0
-104.6729965,39.86169815,-87.9048,41.9786,35152.0
-104.6729965,39.86169815,-76.20120239,36.89459991,203.0
-104.6729965,39.86169815,-122.5979996,45.58869934,12457.0
-104.6729965,39.86169815,-75.2410965,39.87189865,6636.0
-104.6729965,39.86169815,-112.012001,33.43429947,13427.0
-104.6729965,39.86169815,-80.23290253,40.49150085,5144.0
-104.6729965,39.86169815,-116.5070038,33.82970047,2250.0
-104.6729965,39.86169815,-103.0569992,44.04529953,1.0
-104.6729965,39.86169815,-78.78749847,35.87760162,1451.0
-104.6729965,39.86169815,-77.31970215,37.50519943,377.0
-104.6729965,39.86169815,-119.7679977,39.49909973,8002.0
-104.6729965,39.86169815,-81.75520325,26.53619957,747.0
-104.6729965,39.86169815,-117.1900024,32.73360062,12978.0
-104.6729965,39.86169815,-98.46980286,29.53370094,4030.0
-104.6729965,39.86169815,-119.8399963,34.42620087,195.0
-104.6729965,39.86169815,-85.736,38.1744,11.0
-104.6729965,39.86169815,-122.308998,47.449001,15521.0
-104.6729965,39.86169815,-122.375,37.61899948,35444.0
-104.6729965,39.86169815,-121.929001,37.362598,8221.0
-104.6729965,39.86169815,-111.9779968,40.78839874,3202.0
-104.6729965,39.86169815,-121.5910034,38.69540024,9607.0
-104.6729965,39.86169815,-117.8679962,33.67570114,12500.0
-104.6729965,39.86169815,-90.370003,38.748697,631.0
-104.6729965,39.86169815,-82.53320313,27.97550011,5936.0
-104.6729965,39.86169815,-95.88809967,36.19839859,4144.0
-104.6729965,39.86169815,-110.9410019,32.11610031,1097.0
-97.038002,32.896801,-104.6729965,39.86169815,10998.0
-97.038002,32.896801,-74.16870117,40.69250107,6087.0
-97.038002,32.896801,-77.45580292,38.94449997,2973.0
-97.038002,32.896801,-95.34140015,29.9843998,5843.0
-97.038002,32.896801,-118.4079971,33.94250107,107.0
-97.038002,32.896801,-87.9048,41.9786,10453.0
-97.038002,32.896801,-122.375,37.61899948,3967.0
-92.19360352,46.84209824,-87.9048,41.9786,255.0
-93.6631012,41.5340004,-104.6729965,39.86169815,6478.0
-93.6631012,41.5340004,-95.34140015,29.9843998,3.0
-93.6631012,41.5340004,-87.9048,41.9786,3669.0
-83.35340118,42.21239853,-104.6729965,39.86169815,2353.0
-83.35340118,42.21239853,-74.16870117,40.69250107,212.0
-83.35340118,42.21239853,-77.45580292,38.94449997,13.0
-83.35340118,42.21239853,-95.34140015,29.9843998,2217.0
-83.35340118,42.21239853,-87.9048,41.9786,4291.0
-83.35340118,42.21239853,-122.375,37.61899948,563.0
-106.9179993,39.64260101,-104.6729965,39.86169815,1070.0
-106.9179993,39.64260101,-74.16870117,40.69250107,712.0
-106.9179993,39.64260101,-77.45580292,38.94449997,41.0
-106.9179993,39.64260101,-95.34140015,29.9843998,841.0
-106.9179993,39.64260101,-87.9048,41.9786,150.0
-106.3779984,31.80719948,-104.6729965,39.86169815,12.0
-106.3779984,31.80719948,-95.34140015,29.9843998,219.0
-123.211998,44.12459946,-104.6729965,39.86169815,667.0
-123.211998,44.12459946,-122.375,37.61899948,2339.0
-74.16870117,40.69250107,-149.9960022,61.17440033,65.0
-74.16870117,40.69250107,-84.428101,33.6367,8372.0
-74.16870117,40.69250107,-97.66989899,30.19449997,4983.0
-74.16870117,40.69250107,-82.54180145,35.43619919,556.0
-74.16870117,40.69250107,-72.68319702,41.93889999,421.0
-74.16870117,40.69250107,-68.82810211,44.80739975,1.0
-74.16870117,40.69250107,-86.67819977,36.12450027,1967.0
-74.16870117,40.69250107,-71.00520325,42.36429977,21886.0
-74.16870117,40.69250107,-67.12940216,18.49489975,1977.0
-74.16870117,40.69250107,-73.15329742,44.47190094,313.0
-74.16870117,40.69250107,-78.73220062,42.94049835,234.0
-74.16870117,40.69250107,-76.668297,39.1754,5.0
-74.16870117,40.69250107,-111.1529999,45.77750015,435.0
